# r(1) ntot(2) grad2ntot(3) laplntot(4) tauk(5) tautf(6)  ptot(7) qtot(8) z(9) denstest(10) Fvw(11) vp(12) Fmggaus(13) Fcurvefit(14) divgradgrad2(15) divgradlapl(16) Har-dep-ind(17) vesp(18) Fmggapc(19) vpstitch4(20) vpts(21)  FxcPW91lb(22) FxcPW91lda(23) Fs1(24)  Fvw_ts(25) Fs(26) vxlda(27)  vxlb(28) tauresp(29) Vresp(30) taupusbigZ(31) Vp1(32) Fpauli(33) FgeapauliusbigZ(34) zusbigZ(35) FmggausbigZ(36) FbigZnuc(37) 
0.00208333333333 13.387598681214447 6451.94307652888 -76694.56590757568 60.2417878367297 216.7236950271694 0.1667795158677665 -26.54113313427528 -59.22737661819362 13.387598681214447 0.2779658597796108 1.8089843350246928 -57.949410758414004 0.0 -13787.457189587687 -61072297.57031809 0.004866701516663782 -1434.363285804704 0.2779658597796108 24.64737020477632 -1.2547168017154036 -0.22143854667268287 -0.12307505220220244 49.26561080540896 88.74840964069722 5.290312942487274 -1.7536891664210859 -3.3460359707318674 48.910137768983546 1.8089843638656835 -16337.1020232629 -1433.4176089219961 48.98764494562935 -75.38216816216062 -76.38216816216062 0.27796586324256534 0.1612852287771862
0.00213479166667 13.383465981367847 6447.967099058331 -74724.23312074132 60.223255383585574 216.61220355936663 0.16681402308775825 -25.872584240248635 -57.74176353105291 13.383465981367847 0.2780233718129304 1.808984376880441 -56.46374015923998 0.0 996.782312444734 -1583816.7333783407 0.004986280632641237 -1399.6526449400171 0.2780233718129304 24.634702132843085 -2.9062099623427002 -0.221424416919202 -0.12304250844660596 48.11977136062461 86.51997083930839 5.217569776611536 -1.7535086954990788 -3.3458258138220343 47.66218673491115 1.8089843638657543 -15913.71239856921 -1395.3996933089186 47.841747988811676 -73.46637048640595 -74.46637048640595 0.278023375708237 0.1613427414912385
0.00218752102083 13.379232531651365 6443.848759206383 -72919.44192293801 60.20383394858549 216.49801786940756 0.16684818077647645 -25.261007920724925 -56.38275564720573 13.379232531651365 0.2780803012941274 1.8089843571300246 -55.1046753459116 0.0 -951.4199859445381 3600128.911751148 0.005108782142545658 -1365.778691203572 0.2780803012941274 24.621727748280936 -2.3133835679257118 -0.22141079061466407 -0.1230103001621273 46.94162814110445 84.4814400370439 5.08605076748342 -1.7533237864040674 -3.3456057868815887 46.520584436671314 1.8089843638658925 -15525.90394914682 -1362.713224982674 46.66354783981032 -71.71383877755456 -72.71383877755456 0.278080305710278 0.1613996716988142
0.00224155279005 13.374895909208595 6439.662839080427 -71102.03351910935 60.18423328613979 216.38107435037597 0.16688400336778944 -24.644727039751547 -55.013295648881645 13.374895909208595 0.2781400056129824 1.8089843677373878 -53.73515564326866 0.0 -1678.5176049323861 -920979.1136919443 0.005234276685018263 -1332.721256579655 0.2781400056129824 24.608440989304423 -2.783705441394659 -0.22139816614088018 -0.12297843546659153 45.820406357706936 82.42723013811813 4.986512327178076 -1.7531343304712346 -3.345383511708963 45.370200623372604 1.8089843638657275 -15135.386258611548 -1328.7133623351149 45.542266352093954 -69.94782840436179 -70.94782840436179 0.27814001023200385 0.16145937712911707
0.00229691914396 13.370453670019698 6435.149834833877 -69337.3091535547 60.16203704230492 216.2613089239513 0.16691484215238125 -24.046364152661706 -53.683646031325836 13.370453670019698 0.2781914035873021 1.8089843619287709 -52.405454627738536 0.0 -737.4440596356083 -1029720.9145018656 0.005362836572052558 -1300.4606592253297 0.2781914035873021 24.594834208656014 -3.0774278953113026 -0.22138496081961503 -0.12294692255484149 44.72171750133167 80.43273857912634 4.884834611894869 -1.7529402179478677 -3.345132938437252 44.25326273522848 1.808984364088476 -14756.191645367973 -1295.8865360013517 44.44352609774437 -68.23315607766443 -69.23315607766443 0.2781914092091823 0.16151077582894313
0.00235365304682 13.365903334149104 6430.514860770835 -67635.71822475793 60.139171891126104 216.13865664689772 0.1669460876281354 -23.469558595175318 -52.40190219317202 13.365903334149104 0.2782434793802257 1.8089843677768265 -51.1236587137918 0.0 -559.3206803881989 330126.2584860498 0.005494535825445906 -1268.9776916985163 0.2782434793802257 24.580899958859746 -2.979336992352728 -0.2213724844649939 -0.12291576975006194 43.63904940811529 78.51010546329795 4.775039236613317 -1.7527413373416285 -3.344874807436561 43.176565277015705 1.808984364999211 -14390.568281077709 -1264.6217556074673 43.36080592873507 -66.58026150586913 -67.58026150586913 0.2782434853501774 0.16156285279887972
0.00241178827707 13.361242292648736 6425.815722813953 -65970.2363632792 60.11618889858029 216.0130492072267 0.16697932583734917 -22.904948314022562 -51.14726192129066 13.361242292648736 0.278298876395582 1.808984367804596 -49.868963044895075 0.0 -766.3546887085695 94959.20205878816 0.00562945020245032 -1238.2536095670112 0.278298876395582 24.566630758981972 -2.9756264593215747 -0.2213611337272427 -0.1228849858237111 42.58498559596353 76.62812658980413 4.670422298210284 -1.752537571342332 -3.344615053129148 42.1226327331724 1.8089843665004104 -14032.708582677804 -1233.9219779992452 42.30668671956795 -64.96231886998585 -65.96231886998585 0.2782988832116169 0.16161825073819203
0.00247135944752 13.356467893740483 6420.994043374325 -64343.293494453974 60.0925531084256 215.88441725368085 0.1670131280743666 -22.353382765989185 -49.92161078082688 13.356467893740483 0.2783552134572777 1.8089843732481414 -48.64325556736961 0.0 -665.0778114706881 -150876.01189765392 0.005767657246325753 -1208.2701202049036 0.2783552134572777 24.552018771245763 -3.0023840000903874 -0.22135058127310106 -0.12285457970073561 41.55715898086224 74.7896311000879 4.569164613452958 -1.7523288005779056 -3.34434789353234 41.09305047062416 1.8089843686303595 -13683.134256410573 -1203.90236245857 41.27880376740496 -63.38175969566082 -64.38175969566082 0.27835522053049544 0.16167458880862884
0.00253240202587 13.351577422195449 6416.072628043362 -62757.96929048599 60.06848886107276 215.75268984575698 0.16704817580904494 -21.815939815866983 -48.72734503645855 13.351577422195449 0.2784136263484082 1.8089843779010595 -47.44893141011014 0.0 -640.625366076988 62428.503337364404 0.005909236323385105 -1179.0093719477447 0.2784136263484082 24.537055978650866 -2.983841334319777 -0.22134100713068094 -0.12282456053121324 40.552895430305995 72.99821301257168 4.469122771591801 -1.7521149027033192 -3.344075738173348 40.08983063994298 1.8089843714080314 -13342.507541683879 -1174.6941603209032 40.274481803957585 -61.84167414655421 -62.84167414655421 0.2784136345111573 0.16173300302087523
0.00259495235591 13.34656809903706 6411.041239677158 -61209.58068193856 60.043911711334985 215.61779445199016 0.16708429397103317 -21.291000414938246 -47.56086654278282 13.34656809903706 0.27847382328505527 1.808984383993216 -46.282392719497764 0.0 -651.9244427609968 -3898.123186294508 0.006054268663874798 -1150.4539434215887 0.27847382328505527 24.521734259685584 -2.989981984286942 -0.2213323859612905 -0.12279493769223092 39.57350227055692 71.24847520641255 4.372161709144419 -1.7518957523770557 -3.3437976637181896 39.10995098184175 1.8089843748524312 -13009.82189035682 -1146.14080252582 39.29502844727187 -60.337422166024474 -61.337422166024474 0.2784738322485749 0.1617932014229031
