# r(1) ntot(2) grad2ntot(3) laplntot(4) tauk(5) tautf(6)  ptot(7) qtot(8) z(9) denstest(10) Fvw(11) vp(12) Fmggaus(13) Fcurvefit(14) divgradgrad2(15) divgradlapl(16) Har-dep-ind(17) vesp(18) Fmggapc(19) vpstitch4(20) vpts(21)  FxcPW91lb(22) FxcPW91lda(23) Fs1(24)  Fvw_ts(25) Fs(26) vxlda(27)  vcpw91(28) vw(29) Vresp(30) taupusbigZ(31) taurespts(32) Fpauli(33) FgeapauliusbigZ(34) zusbigZ(35) FmggausbigZ(36) FbigZnuc(37) 
0.000173611111111 31746.610192413238 5223032149720.31 -26138595269.629585 21939144.188705966 91389756.57237789 0.1350171953990625 -21.45092315318344 -47.8687435928507 31746.610192413238 0.22502865899843752 505.82893157787504 -46.64371493385226 0.0 2373810.648889915 21453066513.997196 0.0004513076113024154 -207177.28386032645 0.22502865899843752 16196884.513804063 -734.9980564809521 -0.015005392928549376 -0.008233362422579086 39.8824093525518 71.72810583627655 4.404237707946728 -23.38572529669134 -43.19696248866579 206485.48276633417 462.5540807291238 -5550428299.749781 3600944672.4764037 39.657380693553364 -60.73359321571243 -61.73359321571243 0.225028667495336 0.3036019487872693
0.000175746527778 31741.730307929218 5221380968976.271 -25842688764.957363 21935914.207038227 91366344.6972526 0.13502985383249672 -21.213518651688865 -47.34119678720859 31741.730307929218 0.22504975638749453 505.8390653899535 -46.1161470308211 0.0 -352436.8636942746 1103028211.6974812 0.0004568377133292688 -204657.7462236853 0.22504975638749453 16192738.779209215 -514.398833537678 -0.015006290240940693 -0.008233657948691861 39.36266534511231 70.93677859535039 4.3219805206931765 -23.384527000925 -43.195119679998854 204186.54250982765 462.5540718632313 -5486849251.936172 3559532968.8485026 39.13761558872482 -60.053286252362916 -61.053286252362916 0.22504976550148903 0.30362304646089766
0.000177908210069 31736.791176385435 5219745773836.497 -25514466802.75368 21932716.061084535 91342651.01998611 0.13504359430359517 -20.949523457424363 -46.754561156207615 31736.791176385435 0.22507265717265862 505.8471252406281 -45.529488499034954 0.0 -94343.58788355636 -1272609215.5307841 0.00046243531761288513 -202168.82235366377 0.22507265717265862 16188543.68202706 -579.2986627147475 -0.01500721888362762 -0.008233958728372539 38.892467799902235 70.05681751525385 4.2843904342817165 -23.383314031488563 -43.19331253151983 201632.71700348056 462.55406277614827 -5416325107.675443 3513597301.0719275 38.667395142729575 -59.29678027945927 -60.29678027945927 0.2250726666378131 0.30364594733616135
0.000180096481053 31731.792087410297 5218070816535.787 -25203405327.616795 21929443.65761942 91318672.22194964 0.13505698300765534 -20.699549758859852 -46.19908388340361 31731.792087410297 0.22509497167942558 505.85667299939166 -44.973988911724184 0.0 62839.552105007686 250487959.86014366 0.0004681012416606317 -199710.14027417736 0.22509497167942558 16184298.028071394 -539.6633569537662 -0.015008150119026096 -0.008234264826670959 38.412123719630166 69.22359416787894 4.231236894331698 -23.38208620933798 -43.19145765026246 199213.66837487387 462.55405346149024 -5349489378.651372 3470064277.3088784 38.18702874795074 -58.58045510834259 -59.58045510834259 0.22509498167021103 0.3036682619825193
0.00018231166777 31726.732314018045 5216434329304.036 -24894979616.681263 21926206.642845362 91294404.907354 0.13507205312866147 -20.451674701706647 -45.64827274916834 31726.732314018045 0.22512008854776913 505.8614389863765 -44.42315266062057 0.0 -83929.9156631182 384006578.4646145 0.0004738363126720978 -197281.33253198222 0.22512008854776913 16180001.4012208 -509.51311734877527 -0.015009124988070794 -0.00823457631017998 37.938993836354314 68.39736909423658 4.180120501426107 -23.380843351217074 -43.18967245155883 196815.009087085 462.5540440556084 -5283220658.156104 3426900475.6567535 37.71387374780655 -57.870147283588096 -58.870147283588096 0.22512009908717145 0.3036933792222317
0.000184554101284 31721.611108432026 5214784900423.661 -24585244217.51785 21922936.286457535 91269845.58330709 0.13508748317700756 -20.202656250040594 -45.094921271463555 31721.611108432026 0.2251458052950126 505.86562450156725 -43.86977546616854 0.0 -115370.73391076598 -125360337.80706671 0.00047964136763875196 -194882.0361370313 0.2251458052950126 16175653.251510264 -519.585029100359 -0.015010117019776694 -0.008234893247404484 37.47770783142157 67.56733330543032 4.135781506839935 -23.379585268626847 -43.18788003436135 194405.63898796533 462.5540348488208 -5216670726.87711 3383553510.8601627 37.252562026126554 -57.15656352366196 -58.15656352366196 0.22514581637419784 0.3037190965740888
0.00018682411673 31716.427741176773 5213103828725.761 -24280484681.897396 21919604.4016322 91244990.84735356 0.1351027969167718 -19.957658324376077 -44.55050412367539 31716.427741176773 0.22517132819461966 505.8706512260076 -43.32533279548077 0.0 -70630.57766037076 -47315473.964666314 0.00048551725364667553 -192511.8925109659 0.22517132819461966 16171252.890046127 -519.9926465280878 -0.015011116751955458 -0.008235215705336772 37.02056831691548 66.75069907611487 4.090507798476697 -23.378311777425317 -43.18605247861384 192035.08591691643 462.55402576493634 -5151190443.788175 3340903353.644555 36.79539698872087 -56.45450118358555 -57.45450118358555 0.22517133966215652 0.30374461992586343
0.000189122053365 31711.181467785133 5211407851632.316 -23979964525.0334 21916238.961153958 91219837.22785729 0.13511843627243386 -19.716077051146815 -44.01368001924838 31711.181467785133 0.2251973937873898 505.8753089341199 -42.78848262546099 0.0 -86159.01717383131 73077365.28143229 0.0004914648278302969 -190170.54743246755 0.2251973937873898 16166799.717664959 -516.1763238324493 -0.01501213320354078 -0.00823554375237702 36.5683390487339 65.94545423094344 4.045133078821056 -23.377022689646413 -43.184215024308436 189697.5553236594 462.5540168174521 -5086621598.374885 3298846906.4219046 36.34314165494651 -55.76223059540277 -56.76223059540277 0.22519740587841242 0.30377068570066235
0.000191448254622 31705.871535169244 5209688963004.923 -23682301553.218357 21912826.904500797 91194381.214629 0.13513420221612768 -19.476776889478487 -43.48192523916127 31705.871535169244 0.22522367036021282 505.88016762835105 -42.256701568801056 0.0 -90176.47262031662 -25568329.295991786 0.0004974849575284276 -187857.65098106407 0.22522367036021282 16162293.139448695 -518.6787423090718 -0.015013162495486782 -0.008235877457777253 36.12256490199766 65.14781330195517 4.001279321281488 -23.37571781506117 -43.182355793436166 187382.15459454845 462.5540080055234 -5022667085.941346 3257190660.6806536 35.897341231637455 -55.0764972473505 -56.0764972473505 0.22522368309785068 0.3037969626761835
0.000193803068154 31700.497182929554 5207947699998.4 -23388614268.11755 21909365.295780193 91168619.26527208 0.1351501171452764 -19.240678253608312 -42.95728518156703 31700.497182929554 0.22525019524212733 505.8850549391219 -41.732034986324905 0.0 -80918.03092959886 -9953251.845532157 0.0005035785203895561 -185572.85749223136 0.22525019524212733 16157732.515282702 -518.3316935409093 -0.015014205206425936 -0.008236216891529514 35.68177686398876 64.3608443739365 3.957523415199793 -23.37439696149567 -43.1804757255426 185097.70627441598 462.55399932835485 -4959567310.27499 3216091209.323383 35.456526668746626 -54.399938819345344 -55.399938819345344 0.22525020846336763 0.3038234881356058
