# r(1) ntot(2) grad2ntot(3) laplntot(4) tauk(5) tautf(6)  ptot(7) qtot(8) z(9) denstest(10) Fvw(11) vp(12) Fmggaus(13) Fcurvefit(14) divgradgrad2(15) divgradlapl(16) Har-dep-ind(17) vesp(18) Fmggapc(19) vpstitch4(20) vpts(21)  FxcPW91lb(22) FxcPW91lda(23) Fs1(24)  Fvw_ts(25) Fs(26) vxlda(27)  vcpw91(28) vw(29) Vresp(30) taupusbigZ(31) taurespts(32) Fpauli(33) FgeapauliusbigZ(34) zusbigZ(35) FmggausbigZ(36) FbigZnuc(37) 
0.000173611111111 31746.596412082697 5223053044430.566 -26133674384.82778 21938764.533491835 91389690.45608684 0.13501789182133558 -21.446900291273934 -47.859804931455166 31746.596412082697 0.225029819702226 505.814279648327 -46.63477511175294 0.0 1350373.9112333478 6154475454.608983 0.00045130754599346444 -207177.28387793346 0.225029819702226 16216634.181348762 -773.6568843730201 -0.015005409131516859 -0.008233363629747309 39.888330537972074 71.714697457282 4.410208056669576 -23.38572191299075 -43.19699663229128 206446.82399019273 462.55424163701844 -5549370836.214837 3600255803.6254735 39.663300718269845 -60.72206622563554 -61.72206622563554 0.22502982816898798 0.3036031095599908
0.000177899305556 31736.79774351757 5219722922885.501 -25524950697.257404 21932223.628708627 91342682.52176884 0.13504292859443218 -20.95812438876066 -46.77367335071914 31736.79774351757 0.22507154765738696 505.8347310253044 -45.54860180306176 0.0 -229528.27370001996 338305187.2829895 0.00046241219382240863 -202178.95080802633 0.22507154765738696 16208300.286318708 -506.8870850552339 -0.015007204983547084 -0.008233958693380627 38.88336237091182 70.08548617685958 4.273402892226348 -23.383315644351708 -43.19327847945963 201715.25700145055 462.55422372720034 -5418578248.508545 3515065013.9905515 38.658290823254426 -59.32142672969109 -60.32142672969109 0.22507155698281223 0.3036448377756883
0.000182293418403 31726.760231225577 5216407739345.829 -24888339099.43625 21925751.22167441 91294538.79474221 0.13507104767934017 -20.446189411772576 -45.636081726426966 31726.760231225577 0.2251184127989003 505.8510792546637 -44.410963313628066 0.0 -98417.16664288177 -327155873.49699664 0.0004737889991654977 -197301.1006456486 0.2251184127989003 16199765.969547402 -581.7840809937625 -0.015009101399530994 -0.008234574944077764 37.95386831805389 68.37908311870748 4.191661466132744 -23.380850209026637 -43.189629901996646 196762.50619455686 462.55420491315925 -5281793148.763694 3425970699.242677 37.72874990525499 -57.854426107992786 -58.854426107992786 0.22511842307427687 0.3036917037791663
0.000186796065837 31716.478134153876 5212954668357.544 -24281265312.59224 21918982.722241815 91245232.47340758 0.13509835886946736 -19.958247122392457 -44.5518059888269 31716.478134153876 0.2251639314491123 505.87070493133103 -43.32664205737779 0.0 -10729.54282457959 49898123.561368 0.0004854445783520004 -192540.82919638188 0.2251639314491123 16191025.779500108 -543.1005881317251 -0.015011021047402227 -0.008235212908233848 37.02969115888374 66.75265433942398 4.094628333259353 -23.378324159043615 -43.18582287702006 192040.91443112717 462.55418514845735 -5151357260.2793865 3341012406.39654 36.80452722743463 -56.45617990814691 -57.45617990814691 0.2251639429136426 0.30373722285361315
0.000191409928664 31705.945544620772 5209544220238.54 -23688155369.70045 21912223.129399426 91194735.9991458 0.13512960659265064 -19.481515388609434 -43.49244842889897 31705.945544620772 0.22521601098775107 505.88069070078427 -42.26723241791122 0.0 -78915.45152594981 88508609.90690613 0.0004973857056998252 -187895.3022691832 0.22521601098775107 16182075.069963684 -510.6296219781216 -0.015013060403299203 -0.008235873128299917 36.12860277960913 65.16360063968587 4.000752769258362 -23.37573600330859 -43.18212933032594 187427.8547765354 462.5541649973485 -5023924160.89868 3258009884.2345114 35.90338676862138 -55.09006748970398 -56.09006748970398 0.22521602361134008 0.3037893031804174
0.000196137753901 31695.156349994893 5206068700150.422 -23104294640.264 21905321.833375126 91143020.8750125 0.1351620720319021 -19.01212052644247 -42.44939683214164 31695.156349994893 0.22527012005317015 505.88955516547804 -41.22412671208847 0.0 -94546.3820961822 -22318805.64220695 0.0005096193169342009 -183361.75399494966 0.22527012005317015 16172908.92041988 -518.7716307410737 -0.015015165774860484 -0.008236556166231644 35.25533132414063 63.59900520819474 3.9152967039790303 -23.373084198061584 -43.17838891405893 182886.16075312265 462.55414568885976 -4898480084.404852 3176303053.0128126 35.03006120408745 -53.74498274664719 -54.74498274664719 0.2252701339781895 0.3038434131393307
0.000200982356423 31684.10441589552 5202484986069.241 -22535409711.472584 21898205.381033417 91090058.54622492 0.1351947048147186 -18.554777056189405 -41.43312635422049 31684.10441589552 0.225324508024531 505.9002393598945 -40.20780184619596 0.0 -75025.81728562676 -9235167.808039928 0.0005221525139157874 -178937.4851684196 0.225324508024531 16163522.216842864 -519.6504799428803 -0.015017317055889873 -0.008237262587499823 34.402032069481265 62.07458136198922 3.830810526816474 -23.37036719177935 -43.17453794376788 178461.0092264205 462.55412690072234 -4776255669.54025 3096693634.0052023 34.17670756145674 -52.43443407291776 -53.43443407291776 0.22532452328595265 0.3038978022211166
0.000205946620627 31672.78344020485 5198820691869.591 -21980683929.85616 21890909.970164858 91035819.70256075 0.13522829234706651 -18.108820243784105 -40.44216097484922 31672.78344020485 0.22538048724511087 505.9103413764969 -39.21678048760411 0.0 -79015.47646046449 11433555.538424628 0.0005349925676837342 -174619.86165270658 0.22538048724511087 16153909.820928639 -517.028012944269 -0.01501953115671943 -0.00823799297398134 33.56877272124469 60.58811463319211 3.7478254772134316 -23.367583389179668 -43.1706190186361 174146.00425878094 462.554108684282 -4657075554.860488 3019067328.780006 33.34339223399958 -51.15651806153274 -52.15651806153274 0.22538050422117362 0.3039537823694256
0.000211033502156 31661.18697838777 5195061033962.261 -21438808126.053368 21883416.076524414 90980274.40226626 0.1352625226320252 -17.67317827977391 -39.474118433026504 31661.18697838777 0.22543753772004202 505.9209753854939 -38.248680895306464 0.0 -77802.78067096439 -4766893.893644325 0.0005481469225007173 -170406.3128044322 0.22543753772004202 16144066.502541786 -518.6298794721079 -0.0150218028879332 -0.008238747921830696 32.7562396560438 59.13603180363308 3.6674865891560007 -23.364731157309667 -43.16661104329909 169930.8495360034 462.55409103207415 -4540658329.843739 2943240867.043892 32.53080211832376 -49.90816261739735 -50.90816261739735 0.22543755631207407 0.30401083412506047
0.000216246029659 31649.308435946416 5191208223950.661 -20910292922.958767 21875725.65833707 90923392.03853285 0.1352975269623163 -17.24827829297528 -38.52994809840776 31649.308435946416 0.2254958782705272 505.9318152875942 -37.30445222013723 0.0 -74021.53197978316 439154.6554507398 0.0005616231997915648 -166294.32994330613 0.2254958782705272 16133986.876380265 -517.8793254165503 -0.01502413600918866 -0.0082395280422398 31.962942253113365 57.71975685485479 3.588729007812704 -23.36180882355096 -43.16251849526259 165819.61313638484 462.55407393658976 -4427113786.861824 2869285757.917694 31.737446374842836 -48.69059202043008 -49.69059202043008 0.22549589870217623 0.30406917577936643
